CLIENTE;ENTREGA;FECHA;GESTIONES; PAGOS ; HONORARIOS TOTALES ;COSTO CAMPAÑA;RESULTADO GENERAL; PAGO 1 ; HONORARIOS X ACTIVACION ;RESULTADO POR ACTIVACION; CONVENIO ; HONORARIOS X PLAN ;COSTO GESTION;;
AGL;AGL-017AGILIS;01/02/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-017AGILIS;01/03/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-017AGILIS;01/04/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-017AGILIS;01/05/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-017AGILIS;01/06/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-018;01/02/2022;2; $ -   ; $ -   ; $ 200,00 ; $ -200,00 ; $ -   ; $ -   ; $ -200,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-018;01/03/2022;1; $ 16.708,00 ; $ 4.177,00 ; $ 100,00 ; $ 4.077,00 ; $ 16.708,00 ; $ 4.177,00 ; $ 4.077,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-018;01/04/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-018;01/05/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-018;01/06/2022;3; $ -   ; $ -   ; $ 300,00 ; $ -300,00 ; $ -   ; $ -   ; $ -300,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-019;01/02/2022;3; $ -   ; $ -   ; $ 300,00 ; $ -300,00 ; $ -   ; $ -   ; $ -300,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-019;01/03/2022;5; $ 5.666,00 ; $ 1.416,50 ; $ 500,00 ; $ 916,50 ; $ 5.666,00 ; $ 1.416,50 ; $ 916,50 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-019;01/04/2022;1; $ 5.666,00 ; $ 1.416,50 ; $ 100,00 ; $ 1.316,50 ; $ -   ; $ -   ; $ -100,00 ; $ 5.666,00 ; $ 1.416,50 ; $ 100,00 ;;
AGL;AGL-019;01/05/2022;0; $ 5.666,00 ; $ 1.416,50 ; $ -   ; $ 1.416,50 ; $ -   ; $ -   ; $ -   ; $ 5.666,00 ; $ 1.416,50 ; $ 100,00 ;;
AGL;AGL-019;01/06/2022;1; $ -   ; $ -   ; $ 100,00 ; $ -100,00 ; $ -   ; $ -   ; $ -100,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-020;01/02/2022;7; $ -   ; $ -   ; $ 700,00 ; $ -700,00 ; $ -   ; $ -   ; $ -700,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-020;01/03/2022;3; $ 153.270,00 ; $ 38.317,50 ; $ 300,00 ; $ 38.017,50 ; $ 120.000,00 ; $ 30.000,00 ; $ 29.700,00 ; $ 33.270,00 ; $ 8.317,50 ; $ 100,00 ;;
AGL;AGL-020;01/04/2022;4; $ 16.635,00 ; $ 4.158,75 ; $ 400,00 ; $ 3.758,75 ; $ -   ; $ -   ; $ -400,00 ; $ 16.635,00 ; $ 4.158,75 ; $ 100,00 ;;
AGL;AGL-020;01/05/2022;9; $ -   ; $ -   ; $ 900,00 ; $ -900,00 ; $ -   ; $ -   ; $ -900,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-020;01/06/2022;1; $ 205.820,00 ; $ 51.455,00 ; $ 100,00 ; $ 51.355,00 ; $ 180.000,00 ; $ 45.000,00 ; $ 44.900,00 ; $ 25.820,00 ; $ 6.455,00 ; $ 100,00 ;;
AGL;AGL-021;01/02/2022;0; $ 7.400,00 ; $ 1.850,00 ; $ -   ; $ 1.850,00 ; $ -   ; $ -   ; $ -   ; $ 7.400,00 ; $ 1.850,00 ; $ 100,00 ;;
AGL;AGL-021;01/03/2022;1; $ 7.000,00 ; $ 1.750,00 ; $ 100,00 ; $ 1.650,00 ; $ -   ; $ -   ; $ -100,00 ; $ 7.000,00 ; $ 1.750,00 ; $ 100,00 ;;
AGL;AGL-021;01/04/2022;2; $ 14.800,00 ; $ 3.700,00 ; $ 200,00 ; $ 3.500,00 ; $ -   ; $ -   ; $ -200,00 ; $ 14.800,00 ; $ 3.700,00 ; $ 100,00 ;;
AGL;AGL-021;01/05/2022;4; $ 118.900,00 ; $ 29.725,00 ; $ 400,00 ; $ 29.325,00 ; $ 118.500,00 ; $ 29.625,00 ; $ 29.225,00 ; $ 400,00 ; $ 100,00 ; $ 100,00 ;;
AGL;AGL-021;01/06/2022;2; $ 118.500,00 ; $ 29.625,00 ; $ 200,00 ; $ 29.425,00 ; $ -   ; $ -   ; $ -200,00 ; $ 118.500,00 ; $ 29.625,00 ; $ 100,00 ;;
AGL;AGL-022;01/02/2022;0; $ 8.000,00 ; $ 2.000,00 ; $ -   ; $ 2.000,00 ; $ -   ; $ -   ; $ -   ; $ 8.000,00 ; $ 2.000,00 ; $ 100,00 ;;
AGL;AGL-022;01/03/2022;3; $ -   ; $ -   ; $ 300,00 ; $ -300,00 ; $ -   ; $ -   ; $ -300,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-022;01/04/2022;2; $ 17.125,00 ; $ 4.281,25 ; $ 200,00 ; $ 4.081,25 ; $ -   ; $ -   ; $ -200,00 ; $ 17.125,00 ; $ 4.281,25 ; $ 100,00 ;;
AGL;AGL-022;01/05/2022;2; $ 8.000,00 ; $ 2.000,00 ; $ 200,00 ; $ 1.800,00 ; $ -   ; $ -   ; $ -200,00 ; $ 8.000,00 ; $ 2.000,00 ; $ 100,00 ;;
AGL;AGL-022;01/06/2022;0; $ 37.644,00 ; $ 9.411,00 ; $ -   ; $ 9.411,00 ; $ 37.644,00 ; $ 9.411,00 ; $ 9.411,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-023;01/02/2022;55; $ 18.112,05 ; $ 4.528,01 ; $ 5.500,00 ; $ -971,99 ; $ -   ; $ -   ; $ -5.500,00 ; $ 18.112,05 ; $ 4.528,01 ; $ 100,00 ;;
AGL;AGL-023;01/03/2022;17; $ 8.628,88 ; $ 2.157,22 ; $ 1.700,00 ; $ 457,22 ; $ 6.500,00 ; $ 1.625,00 ; $ -75,00 ; $ 2.128,88 ; $ 532,22 ; $ 100,00 ;;
AGL;AGL-023;01/04/2022;17; $ 31.400,00 ; $ 7.850,00 ; $ 1.700,00 ; $ 6.150,00 ; $ -   ; $ -   ; $ -1.700,00 ; $ 31.400,00 ; $ 7.850,00 ; $ 100,00 ;;
AGL;AGL-023;01/05/2022;7; $ 29.000,00 ; $ 7.250,00 ; $ 700,00 ; $ 6.550,00 ; $ -   ; $ -   ; $ -700,00 ; $ 29.000,00 ; $ 7.250,00 ; $ 100,00 ;;
AGL;AGL-023;01/06/2022;5; $ 19.400,00 ; $ 4.850,00 ; $ 500,00 ; $ 4.350,00 ; $ -   ; $ -   ; $ -500,00 ; $ 19.400,00 ; $ 4.850,00 ; $ 100,00 ;;
AGL;AGL-024;01/02/2022;41; $ -   ; $ -   ; $ 4.100,00 ; $ -4.100,00 ; $ -   ; $ -   ; $ -4.100,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-024;01/03/2022;11; $ -   ; $ -   ; $ 1.100,00 ; $ -1.100,00 ; $ -   ; $ -   ; $ -1.100,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-024;01/04/2022;25; $ -   ; $ -   ; $ 2.500,00 ; $ -2.500,00 ; $ -   ; $ -   ; $ -2.500,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-024;01/05/2022;16; $ -   ; $ -   ; $ 1.600,00 ; $ -1.600,00 ; $ -   ; $ -   ; $ -1.600,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-024;01/06/2022;9; $ -   ; $ -   ; $ 900,00 ; $ -900,00 ; $ -   ; $ -   ; $ -900,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-025;01/02/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-025;01/03/2022;1; $ -   ; $ -   ; $ 100,00 ; $ -100,00 ; $ -   ; $ -   ; $ -100,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-025;01/04/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-025;01/05/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-025;01/06/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-026;01/02/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-026;01/03/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-026;01/04/2022;36; $ 134.401,00 ; $ 33.600,25 ; $ 3.600,00 ; $ 30.000,25 ; $ 134.401,00 ; $ 33.600,25 ; $ 30.000,25 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-026;01/05/2022;48; $ 5.000,00 ; $ 1.250,00 ; $ 4.800,00 ; $ -3.550,00 ; $ -   ; $ -   ; $ -4.800,00 ; $ 5.000,00 ; $ 1.250,00 ; $ 100,00 ;;
AGL;AGL-026;01/06/2022;11; $ -   ; $ -   ; $ 1.100,00 ; $ -1.100,00 ; $ -   ; $ -   ; $ -1.100,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-027;01/02/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-027;01/03/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-027;01/04/2022;0; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-027;01/05/2022;18; $ -   ; $ -   ; $ 1.800,00 ; $ -1.800,00 ; $ -   ; $ -   ; $ -1.800,00 ; $ -   ; $ -   ; $ 100,00 ;;
AGL;AGL-027;01/06/2022;16; $ -   ; $ -   ; $ 1.600,00 ; $ -1.600,00 ; $ -   ; $ -   ; $ -1.600,00 ; $ -   ; $ -   ; $ 100,00 ;;
